brand,battery,ram(GB),storage(GB),price(USD)
Samsung,7000,8,128,130.0
Huawei,4500,8,256,600.0
LG,5000,6,128,180.0
LG,5000,4,128,170.0
LG,5000,4,64,160.0
Samsung,7000,8,128,270.0
Realme,6000,4,32,435.0
Realme,5000,8,64,200.0
Xiaomi,4520,6,128,280.0
Xiaomi,4520,6,128,360.0
Xiaomi,4520,12,256,470.0
Oppo,4300,8,128,310.0
Samsung,5000,8,64,274.44
Huawei,3800,8,128,2300.0
Xiaomi,5020,16,256,1300.0
Xiaomi,5000,8,64,179.0
Xiaomi,5020,8,64,199.0
Xiaomi,5000,8,64,176.4
Xiaomi,5000,6,64,249.99
Xiaomi,5020,8,64,220.0
Xiaomi,5020,8,64,180.0
Samsung,3000,4,64,215.98
Realme,4500,8,128,349.99
Oppo,4310,8,128,260.0
Realme,5000,4,32,141.04
Oppo,4310,8,128,370.0
Oppo,4310,8,128,200.0
Xiaomi,4780,8,128,430.0
Huawei,4200,8,128,500.0
Oppo,4300,8,128,250.0
Oppo,4500,12,128,275.0
Oppo,4500,8,128,300.0
Oppo,4500,8,256,250.0
Samsung,4500,8,128,364.88
Samsung,5000,8,128,449.9
Samsung,4500,8,128,349.0
Oppo,4310,8,128,130.0
Xiaomi,4520,8,128,380.0
Xiaomi,5160,8,128,274.09
Honor,3800,8,128,390.0
OnePlus,4500,8,128,308.0
OnePlus,4500,8,128,304.2
Oppo,4310,8,128,260.0
OnePlus,4500,8,128,372.4
Realme,6000,4,64,140.0
Xiaomi,4500,6,128,930.0
Xiaomi,4500,8,128,500.0
Vivo,4500,8,128,320.0
Realme,4500,8,128,550.0
Realme,5000,8,64,178.9
Oppo,5000,6,64,311.88
Xiaomi,5000,8,256,1500.0
Xiaomi,4250,8,64,478.13
Xiaomi,4520,8,128,525.0
Xiaomi,4250,8,64,271.8
Xiaomi,5000,8,128,561.25
Realme,4500,6,128,260.0
Realme,5000,8,128,210.0
Oppo,5000,6,128,255.0
Realme,4500,8,128,310.0
Oppo,4310,8,128,161.88
Samsung,5000,4,32,100.0
Oppo,5000,8,128,600.0
Oppo,5000,8,128,405.99
Samsung,6000,4,64,130.0
Lenovo,5500,18,128,880.0
Lenovo,5500,16,256,800.0
Samsung,4500,6,128,520.0
Oppo,4230,4,64,220.0
Sony,4500,12,256,495.0
Sony,4500,8,128,589.99
Oppo,5000,4,64,517.28
Sony,4500,6,128,746.0
Oppo,4310,8,128,300.0
Samsung,5000,4,32,428.47
Honor,5000,8,128,170.0
Realme,5000,8,64,405.0
Xiaomi,5000,4,64,100.0
Realme,5000,6,128,130.0
Realme,5000,8,128,170.0
Realme,4500,8,128,210.0
Xiaomi,4520,8,128,359.988
Xiaomi,4520,8,128,479.988
Vivo,4400,8,128,350.0
Honor,5000,8,64,110.0
Huawei,4000,8,128,600.0
Oppo,5000,8,128,151.9
Vivo,4000,8,128,350.0
Oppo,4310,8,128,215.0
Vivo,4000,8,128,350.0
Vivo,4000,8,128,350.0
Xiaomi,5065,6,128,260.0
Samsung,5000,8,128,220.0
Vivo,5000,8,128,350.0
Oppo,4300,8,128,330.0
Realme,5000,2,32,90.0
Vivo,5000,3,32,350.0
Honor,3800,8,128,270.0
Realme,5000,6,64,445.0
Vivo,5000,4,128,240.0
Xiaomi,5000,6,64,188.41
Samsung,4500,8,128,260.0
Vivo,4200,8,128,269.0
Realme,4500,8,256,290.0
Xiaomi,4000,4,64,179.0
Realme,4500,8,128,230.0
Xiaomi,5000,8,128,200.0
Realme,5000,6,64,219.98
Oppo,4500,8,128,170.0
Oppo,4300,8,128,264.61
Oppo,4500,8,128,260.0
Realme,4500,8,128,310.0
Samsung,5000,6,64,310.14
Samsung,5000,8,64,229.0
Vivo,4500,8,128,270.0
Vivo,5000,6,128,212.4
Realme,6000,4,64,239.95
Vivo,5000,8,128,120.0
Vivo,4000,8,128,230.0
OnePlus,4500,6,128,455.0
Honor,4300,6,128,455.0
Honor,4000,8,128,310.0
Honor,4000,8,256,480.0
Realme,5000,4,32,130.0
OnePlus,5000,4,64,149.99
Samsung,6000,8,64,269.99
Vivo,5000,3,32,221.88
Lenovo,5000,4,128,120.0
Vivo,4000,8,128,240.0
Vivo,4200,8,128,290.0
Realme,5000,4,32,89.988
Honor,4000,8,128,240.0
Samsung,6000,6,64,170.0
Huawei,4300,8,128,246.68
Vivo,5000,8,128,460.0
Vivo,4050,8,128,650.0
Vivo,4050,8,128,310.89
Vivo,5000,8,128,190.0
Oppo,5000,4,32,309.99
Xiaomi,5000,6,64,170.0
Oppo,4310,8,128,520.0
Samsung,6000,6,64,130.0
Realme,4500,8,128,380.0
Realme,4300,8,128,499.0
OnePlus,4500,6,128,299.0
Xiaomi,5065,8,128,239.988
Oppo,5000,8,128,160.0
Oppo,4310,8,128,175.95
Xiaomi,5000,8,128,309.52
Huawei,4000,8,128,250.0
Honor,4000,8,128,200.0
Huawei,3800,8,128,420.0
Samsung,5000,4,32,249.0
Xiaomi,4500,8,128,660.0
Samsung,3300,8,128,613.0
Samsung,4400,12,256,835.0
Honor,4600,12,512,1070.0
Honor,4600,8,128,670.0
Samsung,5000,6,64,160.0
Honor,4600,8,256,800.0
Honor,4300,8,128,250.0
Oppo,5000,4,64,329.0
Samsung,4500,8,128,334.0
Vivo,4350,8,128,240.0
Google,4680,6,128,357.61
Vivo,4500,8,256,370.0
Samsung,5000,4,32,149.0
Xiaomi,5000,6,64,135.52
Vivo,5000,4,64,500.0
Sony,4500,6,64,370.0
Vivo,5000,8,64,120.0
Samsung,5000,8,128,220.0
Lenovo,5000,2,32,90.0
Lenovo,5000,6,64,150.0
Xiaomi,6000,6,64,140.0
Huawei,5000,4,64,150.0
Realme,5000,6,64,149.99
Vivo,4500,8,256,660.0
Vivo,4450,8,128,120.0
Vivo,4400,8,128,500.0
Oppo,4500,12,256,145.0
Realme,5000,8,128,269.988
Samsung,5000,6,64,243.38
Apple,4352,6,128,897.62
Apple,2438,4,128,684.0
Apple,3240,4,128,648.0
Apple,3095,6,128,1580.09
Xiaomi,4250,8,128,319.03
Xiaomi,5000,8,128,329.9
Xiaomi,5000,8,128,389.9
Realme,5000,6,64,123.18
Vivo,5000,6,128,167.88
Realme,5000,8,128,278.0
Vivo,5000,8,128,188.988
Realme,5000,4,32,90.0
Realme,6000,4,64,125.988
Samsung,5000,8,128,398.94
Xiaomi,5000,6,64,110.0
Oppo,4500,8,128,350.0
Xiaomi,4500,8,128,350.0
Oppo,5000,6,128,560.0
Xiaomi,5000,3,32,89.988
Xiaomi,5000,4,64,94.788
Samsung,5000,8,128,240.0
Xiaomi,5000,4,32,80.16
Oppo,5000,6,64,399.28
Xiaomi,5020,6,64,143.988
Vivo,5000,4,128,560.0
Vivo,5000,6,64,520.0
Xiaomi,4500,8,256,650.0
OnePlus,4500,8,128,789.0
Xiaomi,4500,8,128,360.0
Vivo,5000,2,32,720.0
Vivo,4000,8,128,1040.0
Google,4614,8,128,339.96
Realme,4500,8,128,260.0
Realme,5000,8,128,200.0
Google,5003,12,128,336.0
Vivo,5000,8,128,250.0
Vivo,5000,8,128,320.0
Vivo,5000,8,128,180.0
Oppo,5000,8,128,360.0
Vivo,4000,8,128,110.0
Honor,4300,8,128,285.0
Oppo,5000,6,128,230.0
Honor,4300,8,128,240.0
Sony,4500,12,512,998.0
Oppo,5000,8,128,469.0
Xiaomi,4500,8,128,259.99
Xiaomi,5000,8,128,140.0
Xiaomi,5160,8,128,220.0
Honor,4000,8,128,190.0
Honor,5000,8,128,320.0
Oppo,4230,8,32,220.0
Vivo,4050,8,128,240.0
Vivo,5000,4,32,300.0
Xiaomi,5000,8,64,200.43
Vivo,4100,8,128,230.0
Realme,5000,8,256,290.0
Samsung,5000,2,32,98.78
Vivo,5000,4,64,240.0
Vivo,4500,8,128,120.0
Oppo,5000,8,128,192.82
Vivo,4100,8,256,220.0
Vivo,4050,8,128,140.0
Vivo,4100,8,128,320.0
Xiaomi,5000,6,128,164.55
Oppo,4500,8,128,499.0
Oppo,4500,8,256,310.0
Oppo,4500,8,128,230.0
Samsung,5000,4,32,155.0
Xiaomi,5000,8,64,191.988
Honor,4800,8,128,500.0
Honor,4800,8,256,390.0
Samsung,5000,6,64,163.0
Vivo,6000,8,128,190.0
Oppo,4500,8,256,380.0
Honor,5000,8,128,150.0
Honor,4800,6,128,210.0
Vivo,5000,8,64,330.0
Vivo,4500,8,128,209.0
Vivo,4500,8,128,350.0
Vivo,4200,8,128,210.0
Vivo,4300,8,128,140.0
Oppo,5000,8,128,299.0
Vivo,5000,8,128,300.0
Oppo,5000,8,64,1070.0
Xiaomi,4600,8,128,620.96
Xiaomi,4500,8,128,399.99
Xiaomi,4500,8,128,429.89
Vivo,5000,6,128,380.0
Vivo,5000,4,128,180.0
Realme,5000,8,128,699.0
Samsung,4500,8,128,475.0
Realme,5000,8,128,480.0
Vivo,4300,8,128,183.48
Vivo,4700,8,256,260.0
Vivo,4200,8,128,150.0
Vivo,4700,8,128,230.0
Xiaomi,4500,8,128,300.0
Xiaomi,5160,8,128,262.788
Realme,5000,6,64,144.99
Honor,4750,12,256,1400.0
Oppo,5000,8,128,190.0
Vivo,5000,8,128,190.0
OnePlus,5000,8,128,439.94
Oppo,4500,8,128,140.0
Vivo,5000,3,64,390.0
Oppo,5000,6,128,220.0
Vivo,5000,6,128,424.15
Vivo,5000,4,64,430.0
Xiaomi,5000,6,64,146.99
Xiaomi,5000,8,64,184.9
Xiaomi,5000,8,64,222.64
Xiaomi,5000,8,64,233.22
Vivo,5000,8,128,393.42
Oppo,4500,8,128,280.0
Honor,4300,8,128,300.0
Samsung,5000,8,128,825.0
Samsung,3700,8,128,564.98
Vivo,5000,8,128,250.0
Samsung,4500,8,128,749.9
Realme,5000,6,64,153.5
Lenovo,5000,4,64,200.0
Xiaomi,5000,6,64,128.89
Realme,5000,8,128,237.28
Realme,4500,8,128,621.99
Xiaomi,4700,8,128,460.0
Oppo,5000,6,128,380.0
OnePlus,4500,8,128,319.0
Vivo,4500,8,128,270.0
Vivo,4350,8,128,180.0
Oppo,4800,8,128,174.99
Oppo,5000,8,256,299.0
Realme,5000,6,64,509.0
Oppo,4500,8,256,335.988
Honor,4800,8,128,900.0
Xiaomi,5000,8,64,267.15
Xiaomi,5000,8,64,315.87
Honor,4600,8,256,955.0
Lenovo,5600,18,256,570.0
Lenovo,6550,8,128,360.0
Vivo,5000,8,128,630.0
Oppo,4500,8,128,464.78
Xiaomi,5000,6,128,170.0
Xiaomi,5000,8,128,240.0
Realme,5000,12,256,290.0
Samsung,5000,6,64,219.0
Samsung,6000,8,128,223.08
Samsung,5000,8,64,210.0
Samsung,5000,6,32,160.81
Apple,2018,4,64,498.0
Samsung,5000,6,128,227.88
Huawei,4000,8,128,222.61
Xiaomi,5000,8,64,250.0
Vivo,5000,3,32,400.0
Realme,5000,8,128,240.0
Realme,5000,6,64,180.0
Honor,4000,6,128,162.12
Oppo,5000,8,128,350.0
Vivo,5000,8,128,510.0
Samsung,5000,8,128,243.71
Samsung,5000,8,128,399.5
Samsung,5000,8,128,309.4
Xiaomi,5000,8,128,410.0
Honor,4600,12,512,1150.0
Xiaomi,5500,8,128,475.0
Xiaomi,4500,6,128,260.0
Xiaomi,6000,6,64,116.64
Xiaomi,5000,4,64,108.0
Oppo,4230,4,32,699.99
Realme,5000,6,128,839.95
Realme,5000,4,64,119.95
Realme,4500,8,256,519.95
Oppo,5000,8,128,120.0
Honor,4800,8,128,375.0
Realme,5000,4,32,109.99
Vivo,5000,8,128,180.0
Xiaomi,5000,6,32,85.58
Xiaomi,5000,8,64,194.99
Xiaomi,5000,6,64,159.06
Oppo,4500,8,128,234.08
Honor,4800,8,128,240.0
Xiaomi,4650,8,128,600.0
Xiaomi,4500,8,256,470.0
Honor,5000,6,128,190.0
Xiaomi,4650,8,128,720.0
Honor,4800,8,128,230.0
Samsung,4500,6,128,520.0
Honor,5000,8,128,180.0
Vivo,5000,4,64,150.0
Honor,4000,8,128,200.0
Realme,5000,8,128,249.96
Samsung,5000,8,128,350.0
Vivo,4600,12,256,190.0
Vivo,5000,8,256,140.0
Oppo,4500,8,128,180.0
Oppo,4500,8,128,339.0
Vivo,4700,8,128,170.0
Realme,5000,8,256,240.0
Oppo,4500,8,128,280.0
Oppo,5000,8,128,330.0
Oppo,5000,8,128,350.0
Realme,5000,6,128,180.0
Xiaomi,6000,8,128,149.988
Huawei,6000,4,64,235.0
Huawei,4000,8,128,370.0
Realme,5000,8,128,330.0
Realme,5000,8,128,200.0
Xiaomi,4500,8,128,330.0
OnePlus,4500,8,128,360.0
Oppo,5000,8,128,200.0
Oppo,5000,8,128,160.0
Vivo,4700,8,128,1300.0
Vivo,4500,8,128,300.0
Vivo,4700,8,256,150.0
Vivo,4700,8,128,400.0
Xiaomi,4700,8,128,399.9
Vivo,5000,8,64,870.0
Vivo,5000,8,128,300.0
Vivo,4700,6,128,850.0
OnePlus,4500,6,128,164.99
Huawei,4880,8,256,1995.99
OnePlus,4500,12,256,340.0
OnePlus,5000,8,128,395.988
OnePlus,5000,8,128,229.0
Xiaomi,5000,6,64,140.16
Vivo,5000,8,128,180.0
Vivo,4700,8,128,250.0
Vivo,4700,8,128,300.0
Xiaomi,6000,6,64,160.0
Honor,5000,8,128,150.0
Sony,5000,12,256,889.99
Google,4410,6,128,285.0
Sony,5000,6,128,329.99
Realme,5000,4,64,199.99
OnePlus,5000,8,128,280.0
Realme,5000,6,64,299.0
Realme,5000,8,128,233.988
Vivo,4500,8,256,300.0
Vivo,4500,8,128,190.0
OnePlus,4500,8,128,309.0
Vivo,4050,8,128,290.0
Oppo,4500,8,256,350.0
Oppo,4500,8,128,360.0
Oppo,4500,8,128,290.0
Vivo,6000,8,128,380.0
Xiaomi,5000,8,128,150.0
Xiaomi,5080,6,128,250.0
Xiaomi,4400,8,128,300.0
Oppo,5000,4,64,420.0
Samsung,5000,4,64,144.8
Honor,4500,8,256,520.0
Vivo,6000,8,128,480.0
Honor,4500,8,256,600.0
Honor,4800,8,128,529.0
Vivo,4700,8,128,231.6
Oppo,5000,8,128,209.99
Oppo,5000,6,64,520.0
Samsung,5000,4,32,188.0
Oppo,4500,8,128,169.99
Xiaomi,6000,4,32,89.99
Realme,5000,8,128,514.5
Realme,5000,8,64,160.0
Realme,5000,4,32,87.48
Realme,5000,4,32,120.0
Samsung,6000,4,64,119.988
Xiaomi,4500,8,128,398.99
Xiaomi,5080,8,128,380.42
Huawei,5000,8,128,219.0
Samsung,4050,6,128,425.5
Vivo,5000,8,128,559.99
Vivo,5000,8,128,200.0
Xiaomi,4860,8,256,749.0
Xiaomi,5160,8,128,570.0
Xiaomi,4600,8,128,670.0
Xiaomi,4500,8,128,570.0
Vivo,4500,6,128,220.0
Xiaomi,4300,8,128,307.72
Oppo,5000,12,256,270.0
Realme,5000,8,256,500.0
Honor,4000,8,128,240.0
Samsung,6000,6,64,131.988
Samsung,5000,6,64,207.05
Oppo,4500,8,256,310.0
Oppo,4500,8,128,339.0
Vivo,4700,8,256,190.0
Vivo,4700,8,128,360.0
Vivo,5000,6,64,300.0
Xiaomi,5080,8,128,320.0
Vivo,5000,6,128,580.0
Honor,5000,6,128,445.0
Vivo,5000,3,32,150.0
Vivo,4700,8,128,870.0
Oppo,5000,4,64,395.0
OnePlus,4800,8,128,329.99
Oppo,4500,8,128,999.0
OnePlus,5000,4,64,119.0
Samsung,5000,8,64,210.0
OnePlus,4800,16,256,500.0
Samsung,4400,12,256,1179.0
Samsung,3700,8,128,691.27
Xiaomi,4500,12,256,1300.0
Xiaomi,5000,8,128,430.0
Vivo,5000,8,128,230.0
Vivo,5000,8,64,600.0
Xiaomi,5000,6,64,179.0
Vivo,4830,8,128,250.0
Oppo,4500,8,256,200.0
Vivo,4500,8,128,100.0
Realme,5000,6,64,179.88
Lenovo,5100,8,128,440.0
Vivo,5000,8,128,279.0
Xiaomi,5000,8,64,155.88
Samsung,5000,4,32,102.0
Vivo,6000,8,128,251.28
Vivo,4500,8,128,261.0
Realme,5000,4,128,270.0
Vivo,4500,8,128,250.0
Oppo,5000,4,64,330.0
Samsung,5000,4,32,118.16
Oppo,5000,4,64,350.0
Vivo,5000,4,32,300.0
Sony,5000,8,128,704.99
Xiaomi,5000,6,64,144.0
Xiaomi,5000,6,64,103.8
Xiaomi,5000,8,64,159.9
Vivo,5000,6,64,180.0
Realme,5000,4,32,108.072
Xiaomi,5000,6,64,160.0
Xiaomi,5000,6,64,167.988
Xiaomi,5000,3,32,78.89
Apple,4323,6,128,1213.33
Vivo,5000,8,256,250.0
Apple,3200,6,128,1087.84
Apple,4323,6,128,933.0
Apple,3279,6,128,816.0
Realme,5000,4,32,100.0
Vivo,5000,6,64,160.0
Honor,5100,6,128,210.0
Oppo,5000,6,128,180.0
Vivo,5000,8,128,270.0
Honor,5000,4,64,128.75
Vivo,4500,8,256,131.988
Xiaomi,5000,3,32,90.85
Vivo,4730,12,256,180.0
Oppo,5000,4,64,210.0
Xiaomi,4500,8,128,350.0
Vivo,6000,8,128,200.0
Xiaomi,5000,8,128,160.0
Xiaomi,5000,8,128,439.99
Xiaomi,5000,8,128,648.0
Huawei,4500,8,128,311.87
Oppo,5000,8,128,149.76
Google,4355,8,128,463.0
Google,5000,8,128,670.0
Honor,5000,8,128,150.0
Honor,4800,8,256,300.0
Oppo,5000,3,64,220.0
Vivo,5000,8,128,1450.0
Honor,6000,8,128,170.0
Samsung,5000,4,32,94.0
OnePlus,5000,4,64,230.0
Xiaomi,4300,8,256,380.0
Xiaomi,5000,6,128,204.24
Xiaomi,5000,8,256,343.62
Xiaomi,5000,8,128,190.0
Xiaomi,5000,8,128,199.0
Huawei,5000,6,64,189.3
Oppo,5000,8,128,130.0
Realme,5000,8,64,139.8
Realme,5000,8,128,180.0
Oppo,4800,8,128,230.0
Realme,5000,6,128,205.5
Vivo,4000,8,128,200.0
Realme,5000,8,128,187.0
Vivo,4810,8,128,380.0
Vivo,4700,12,256,630.0
Vivo,4870,8,256,360.0
Honor,5000,8,256,1379.99
Honor,5000,16,512,1500.0
Honor,4600,8,256,370.0
Honor,4800,8,256,419.99
Honor,4800,8,256,370.0
Oppo,4500,8,256,260.0
Oppo,4500,16,256,600.0
Oppo,4700,16,256,470.0
Vivo,5000,3,32,1019.0
Vivo,5000,8,128,90.0
Vivo,5000,8,128,1030.0
Vivo,4700,8,256,300.0
Vivo,5000,8,128,659.988
Samsung,5000,4,64,101.988
Xiaomi,4500,8,128,929.0
Xiaomi,4820,8,128,1191.87
Oppo,5000,8,128,740.0
Oppo,4300,8,256,1100.0
Oppo,4520,16,256,180.0
Realme,5000,8,128,150.0
Vivo,4600,8,128,160.0
Vivo,4600,8,256,280.0
Vivo,4600,8,128,800.0
Honor,4800,16,256,450.0
Xiaomi,5000,6,128,230.0
Xiaomi,5000,8,128,460.0
Xiaomi,5500,8,128,300.0
Xiaomi,5500,8,128,350.0
Vivo,5000,8,256,340.0
Xiaomi,5000,6,32,94.75
Xiaomi,5000,3,32,80.0
OnePlus,5000,8,128,619.0
Samsung,5000,8,64,179.0
Samsung,5000,4,64,97.08
Honor,5100,8,128,260.0
Honor,6000,6,128,309.0
Oppo,5000,8,128,1079.99
Honor,4800,12,256,450.0
Oppo,5000,8,128,150.0
Vivo,5000,6,128,400.0
Honor,5000,2,32,90.0
Samsung,5000,8,256,1126.73
Samsung,4700,8,256,1039.0
Samsung,3900,8,128,706.5
Oppo,4800,8,128,230.0
Oppo,5000,8,128,340.0
Xiaomi,5000,8,128,206.0
Xiaomi,5000,8,128,259.0
OnePlus,5000,16,256,390.0
OnePlus,5000,8,128,479.988
Honor,4500,8,128,189.0
Realme,4600,16,256,440.0
Realme,5000,8,256,340.0
Realme,5000,8,128,150.0
Honor,5100,8,128,309.0
Vivo,4500,8,128,250.0
Vivo,5000,8,128,380.0
Vivo,5000,8,128,335.988
Xiaomi,5000,6,64,94.2
Xiaomi,4500,8,128,394.49
Honor,5100,12,256,900.0
Honor,5100,8,256,1027.0
Realme,4600,8,128,630.0
Samsung,5000,6,64,130.27
Vivo,4600,8,128,287.988
Vivo,4600,8,128,219.852
Vivo,4600,8,128,270.0
Xiaomi,5000,8,128,207.6
Xiaomi,5000,8,64,186.54
Honor,5450,16,512,900.0
OnePlus,5000,16,256,310.0
Realme,5000,8,64,207.99
Samsung,6000,6,64,179.88
Vivo,5000,8,128,380.0
Realme,5000,4,64,131.988
Samsung,5000,8,128,280.99
Samsung,5000,8,128,359.0
Vivo,4500,8,128,180.0
Vivo,6000,8,128,440.0
Honor,5000,4,128,210.79
Vivo,5000,8,128,130.0
Realme,5000,8,128,200.0
Oppo,4800,16,256,299.99
Oppo,5000,16,256,759.0
Samsung,6000,8,128,190.0
Xiaomi,5000,8,64,160.0
Xiaomi,5000,4,32,71.37
Samsung,6000,6,128,150.0
Xiaomi,5000,4,32,95.99
Xiaomi,5000,8,256,270.0
Honor,6000,8,128,150.0
Honor,4000,8,128,200.0
Oppo,5000,8,128,820.0
Vivo,5000,6,128,200.0
Vivo,5000,3,32,220.0
Realme,5500,8,256,270.0
Oppo,5000,8,256,180.0
OnePlus,5000,8,128,229.0
Xiaomi,5000,4,64,82.656
Vivo,4500,8,128,120.0
Vivo,5000,8,128,110.0
Realme,5000,8,64,131.988
Xiaomi,5000,16,256,899.0
Samsung,5000,8,128,176.0
Vivo,4800,12,256,227.988
Vivo,4400,12,256,167.68800000000002
Vivo,5000,8,128,800.0
Huawei,5000,8,128,279.0
Xiaomi,5160,8,256,529.9
Oppo,5000,8,256,270.0
Huawei,6000,8,128,190.0
Xiaomi,5000,8,256,400.99
Google,4385,8,128,394.0
Google,4821,12,256,1750.0
Realme,5000,8,128,240.0
Vivo,5000,8,128,1330.0
Realme,5000,8,256,486.3
Realme,5000,8,128,329.9
Sony,5000,12,256,1079.0
Sony,5000,8,128,378.0
Oppo,5000,8,256,290.0
Realme,5000,6,64,100.0
Vivo,4500,8,128,210.0
Vivo,5000,16,256,220.0
Vivo,5000,16,256,180.0
Huawei,7000,8,128,280.0
Vivo,4600,8,128,330.0
Oppo,4600,16,256,330.0
Oppo,4700,16,256,520.0
Oppo,4600,8,256,270.0
Xiaomi,4500,16,256,330.0
Oppo,5000,8,128,899.0
Vivo,5000,8,128,360.0
Vivo,5000,8,256,200.0
Honor,5000,8,256,392.79
Honor,5000,16,256,440.0
Xiaomi,5080,8,128,340.0
Vivo,5000,8,256,430.0
Vivo,5000,8,128,280.0
Realme,5000,6,128,179.9
Vivo,4600,8,256,400.0
Vivo,4600,8,256,330.0
Vivo,4600,12,512,240.0
Vivo,5000,8,128,410.0
Samsung,6000,8,256,380.28
OnePlus,5000,8,128,299.99
Xiaomi,5000,8,128,134.0
Honor,4500,8,256,199.0
Vivo,5000,8,128,220.0
Xiaomi,5000,12,256,220.0
Vivo,4810,8,256,191.988
Xiaomi,5000,8,128,150.0
Samsung,6000,8,128,227.988
Vivo,4700,16,256,419.988
Vivo,5000,8,128,510.0
Honor,5200,8,128,180.0
Honor,4500,8,256,180.0
OnePlus,5000,8,128,429.0
OnePlus,5000,8,128,323.988
Honor,5800,8,128,180.0
Realme,5000,8,128,215.988
Realme,5000,8,128,287.988
Oppo,4600,12,256,479.0
Oppo,5000,8,128,200.0
Oppo,5000,8,128,250.0
Vivo,5000,4,64,500.0
Honor,5000,16,256,1130.0
Realme,5000,6,64,110.0
Vivo,5000,6,128,140.0
Lenovo,6550,16,256,300.0
Realme,5000,4,64,150.0
Oppo,5000,8,256,759.0
Oppo,5000,6,128,150.0
Samsung,3700,8,256,899.0
Samsung,4400,12,256,1498.2
Honor,5200,4,128,150.0
Realme,5000,8,128,296.0
Realme,5000,8,128,280.0
Xiaomi,5000,8,128,120.0
Xiaomi,5000,6,64,135.48
Samsung,6000,8,128,210.0
Xiaomi,4800,16,256,1150.0
Xiaomi,5000,24,256,330.0
OnePlus,5000,24,256,380.0
Vivo,5000,8,256,170.0
Realme,5000,8,128,182.88
Realme,5240,16,256,380.0
Realme,4600,24,1,470.0
Vivo,4600,8,128,287.988
